id;name;postal_code;description;localization;valid_from;valid_to
1;port deposit world-class;contingency;backing up SCSI;../fake-data/blob/hipster.txt;2020-07-26T18:18:13;2020-07-26T17:36:41
2;Intelligent Metal Chicken channels Human;navigate override;Mission copying;../fake-data/blob/hipster.txt;2020-07-26T18:58:07;2020-07-27T02:06:52
3;middleware web-readiness encompassing;Practical cultivate Executive;Ramp;../fake-data/blob/hipster.txt;2020-07-26T19:37:43;2020-07-26T19:22:31
4;Brand Cloned Orchestrator;invoice Arizona;Fresh Customizable;../fake-data/blob/hipster.txt;2020-07-26T19:03:06;2020-07-27T10:27:27
5;deposit Generic networks;salmon;payment Licensed Cambridgeshire;../fake-data/blob/hipster.txt;2020-07-27T05:46:23;2020-07-27T07:40:26
6;Chips;Credit Card Account;Checking Account PCI Auto Loan Account;../fake-data/blob/hipster.txt;2020-07-27T09:50:41;2020-07-26T20:11:38
7;firmware digital;Gorgeous Soft Bike Louisiana;Berkshire Global harness;../fake-data/blob/hipster.txt;2020-07-27T04:20:01;2020-07-27T02:06:43
8;maroon Identity Frozen;Nakfa Borders synthesize;Madagascar XSS technologies;../fake-data/blob/hipster.txt;2020-07-27T10:18:12;2020-07-27T00:20:09
9;Manors;Optional Buckinghamshire Developer;teal Rustic Wooden Bacon protocol;../fake-data/blob/hipster.txt;2020-07-27T12:19:48;2020-07-27T07:14:51
10;Data;Garden Kina;Central Bedfordshire;../fake-data/blob/hipster.txt;2020-07-26T18:49:08;2020-07-27T03:10:03
