id;deal_description;start_date;end_date;discount_amount;discount_percentage;discount_code;unit_price;last_edited_by;last_edited_when
1;redundant;2020-08-02T03:24:46;2020-08-02T01:21:24;45640;39564;Table Industrial IB;96901;architecture;2020-08-02T06:09:08
2;synergies bypass JBOD;2020-08-02T16:38:41;2020-08-02T16:52:32;92632;35994;grow;86506;customer loyalty;2020-08-01T18:49:55
3;Missouri Nauru Cotton;2020-08-01T22:07:51;2020-08-02T11:52:51;40521;3133;Central African Republic;60828;compressing;2020-08-02T00:21:43
4;Hat;2020-08-01T18:43:04;2020-08-02T06:30:35;99677;75319;maroon Salad;10453;whiteboard;2020-08-02T15:16:22
5;Electronics dot-com schemas;2020-08-02T12:01:29;2020-08-01T20:40:41;46691;7171;Handcrafted Cambodia Pizza;55577;Hill zero administration real-time;2020-08-01T23:28:57
6;bandwidth-monitored;2020-08-01T21:25:10;2020-08-01T19:24:41;78063;22814;Refined Soft Mouse payment;47370;Accounts;2020-08-02T11:43:40
7;solid state program turquoise;2020-08-01T18:04:01;2020-08-02T16:27:57;1657;84840;Cedi panel productize;27674;haptic;2020-08-02T00:21:59
8;Division;2020-08-02T12:32:11;2020-08-02T14:59:26;98930;39213;RSS methodical methodologies;43583;parsing infomediaries;2020-08-01T18:27:55
9;FTP;2020-08-02T04:54:37;2020-08-01T22:46:32;94702;56700;harness back up;74573;Congo;2020-08-01T23:32:45
10;incubate Gloves cohesive;2020-08-02T12:21:41;2020-08-02T08:31:12;19965;60315;parsing Incredible;64969;Small Concrete Tuna;2020-08-02T15:06:11
