id;name;description;discount_code;valid_from;valid_to
1;panel non-volatile synergy;input Surinam Dollar EXE;Soft;2020-08-02T05:27:16;2020-08-02T17:39:28
2;Upgradable Timor-Leste Money Market Account;User-centric;Small Accounts Auto Loan Account;2020-08-01T20:12:01;2020-08-02T01:34:13
3;Tunnel relationships Polarised;Grove;HTTP;2020-08-02T08:42:02;2020-08-02T00:41:13
4;Response Lights channels;Intelligent Wooden Pants generate Oklahoma;Wooden firewall;2020-08-02T11:24:07;2020-08-02T16:24:13
5;navigating Meadow relationships;Bedfordshire indexing Refined;Tugrik Borders;2020-08-02T07:32:55;2020-08-02T11:18:57
6;Sports embrace;Future frame;RSS Faroe Islands;2020-08-01T22:40:44;2020-08-02T13:23:53
7;Investment Account Fiji Incredible;pixel;SDD Awesome Cotton Fish;2020-08-02T12:42:16;2020-08-02T01:09:12
8;mint green ROI protocol;Garden;Money Market Account THX;2020-08-02T08:38:59;2020-08-02T10:23:41
9;Steel empower Stand-alone;withdrawal Gloves Internal;Inlet;2020-08-02T06:19:56;2020-08-01T22:35:12
10;vortals;Licensed white Cheese;synergistic analyzing;2020-08-02T12:32:05;2020-08-02T03:20:59
