id;name;postal_code;description;localization;valid_from;valid_to
1;Ports;Supervisor;Danish Krone North Dakota;../fake-data/blob/hipster.txt;2020-08-02T04:36:27;2020-08-02T07:53:29
2;analyzer Specialist;Mobility Specialist magnetic;Benin Tactics;../fake-data/blob/hipster.txt;2020-08-01T19:10:18;2020-08-01T21:43:24
3;Falkland Islands Pound Maine Incredible Plastic Chair;Reduced hack;Shirt well-modulated Rustic Cotton Shoes;../fake-data/blob/hipster.txt;2020-08-02T13:38:10;2020-08-02T11:28:51
4;seize copying blue;back up Florida;Sleek array;../fake-data/blob/hipster.txt;2020-08-02T04:43:55;2020-08-02T05:20:11
5;Computers Rubber;card;Integration;../fake-data/blob/hipster.txt;2020-08-01T20:07:07;2020-08-02T08:58:43
6;deposit Bacon;Investment Account Avon;Bedfordshire;../fake-data/blob/hipster.txt;2020-08-01T22:20:12;2020-08-02T05:59:36
7;evolve;Operations feed;Field;../fake-data/blob/hipster.txt;2020-08-01T20:46:21;2020-08-02T04:01:42
8;Handmade Credit Card Account quantify;reboot deposit Overpass;zero tolerance deliver;../fake-data/blob/hipster.txt;2020-08-02T02:20:36;2020-08-02T15:21:15
9;Division;Car Path;Brand Borders;../fake-data/blob/hipster.txt;2020-08-02T08:45:10;2020-08-01T18:26:43
10;South Georgia and the South Sandwich Islands markets Table;quantify;Borders bypass;../fake-data/blob/hipster.txt;2020-08-01T22:46:03;2020-08-01T19:54:22
