id;video_url;highlights;long_description;short_description;what_in_the_box;care_instructions;product_type;model_name;model_number;fabric_type;special_features;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;warranty_period;warranty_policy;dangerous_goods;last_edited_by;last_edited_when
1;backing up;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;synthesize Borders;Granite vortals;Unbranded challenge;web-enabled Handcrafted Plastic Computer;../fake-data/blob/hipster.txt;payment Ridges EXE;false;Rhode Island;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Chips;technologies;Greenland productize Hat;Fresh deposit;2020-06-17T14:32:04
2;architecture;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;JBOD calculate Applications;Tools;users;Quality;../fake-data/blob/hipster.txt;Illinois Ergonomic;true;Drive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;primary Industrial Generic;Dominican Republic superstructure Re-contextualized;driver Unbranded Metal Chips;deposit real-time;2020-06-17T02:26:40
3;Beauty Pizza;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Jewelery Rustic Frozen Tuna Credit Card Account;Cayman Islands Dollar solution-oriented;azure;Gorgeous copying Small;../fake-data/blob/hipster.txt;Investment Account Missouri solid state;true;Facilitator;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;24 hour;Associate Facilitator Steel;Chief rich;hacking;2020-06-17T10:36:15
4;forecast indexing Bike;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;global Gorgeous;Bedfordshire;Incredible transmitting;Beauty;../fake-data/blob/hipster.txt;encompassing Guam;true;online;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Auto Loan Account Trinidad and Tobago Dollar convergence;Handmade Granite Mouse open architecture Chief;Moroccan Dirham;Branding 24/365 24/7;2020-06-17T02:15:58
5;Integrated Saint Helena;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;logistical;dedicated contingency Tanzanian Shilling;methodology;pink engineer;../fake-data/blob/hipster.txt;navigate solid state Congolese Franc;true;Zloty Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;capacitor interface;AI Cambridgeshire indexing;Western Sahara;French Southern Territories;2020-06-17T15:03:01
6;mint green Branding motivating;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;secured line Russian Ruble navigating;indigo approach calculate;Rubber Supervisor Shoes;hard drive;../fake-data/blob/hipster.txt;Moldovan Leu;false;complexity Customer Chips;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Home Loan Account;auxiliary calculate Sports;Profound;projection hack;2020-06-16T21:22:09
7;Business-focused;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Oklahoma Developer port;Chicken;Small Plastic Salad;Soft;../fake-data/blob/hipster.txt;Plastic;true;Down-sized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Isle of Man;Egyptian Pound supply-chains Customer;extend connect;European Monetary Unit (E.M.U.-6);2020-06-17T13:35:09
8;definition clear-thinking;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Planner;parsing;Granite applications sticky;Steel synergies;../fake-data/blob/hipster.txt;Dynamic Intelligent Frozen Sausages;true;Practical Borders transmitting;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;payment back-end;PCI Planner circuit;Lead Serbia;Streets compressing paradigms;2020-06-17T10:57:30
9;withdrawal solution panel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;neural European Monetary Unit (E.M.U.-6);composite Baby;1080p cross-platform Tasty Soft Table;array;../fake-data/blob/hipster.txt;Product Borders;false;programming monitor View;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Designer;Specialist niches;didactic Home Loan Account Savings Account;Planner;2020-06-16T21:08:52
10;Coordinator utilisation cultivate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;withdrawal;Towels;lavender;grey Bedfordshire;../fake-data/blob/hipster.txt;Vietnam Sausages;true;Path EXE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Music;Accountability invoice;Central;online hacking;2020-06-17T06:59:41
