id;name;handle;short_label;sort_order;icon_font;icon_photo;active_flag;localization;valid_from;valid_to
1;1080p;deposit Vista;intangible parse;51510;e-enable;Awesome SMTP;true;../fake-data/blob/hipster.txt;2020-08-02T05:45:11;2020-08-01T20:47:35
2;Forward Group;Operations Small Soft Towels Analyst;deposit program Cotton;81158;ubiquitous;North Dakota District innovative;true;../fake-data/blob/hipster.txt;2020-08-01T20:31:35;2020-08-01T21:34:03
3;Planner Tennessee;Personal Loan Account Refined;Clothing deposit transmitting;35148;service-desk;incubate Grass-roots matrix;false;../fake-data/blob/hipster.txt;2020-08-02T04:11:50;2020-08-01T23:57:58
4;needs-based Home Loan Account Refined;Refined;Gourde US Dollar artificial intelligence 1080p;36260;Analyst;model Solutions Customer-focused;true;../fake-data/blob/hipster.txt;2020-08-01T18:33:12;2020-08-02T17:46:19
5;foreground Tools;bypassing Specialist;cross-platform Kyrgyz Republic California;47386;Brand technologies Books;Assistant;false;../fake-data/blob/hipster.txt;2020-08-01T19:25:11;2020-08-02T11:10:19
6;Architect zero tolerance;time-frame;Intelligent;42653;ivory Personal Loan Account;synthesizing;true;../fake-data/blob/hipster.txt;2020-08-02T09:02:30;2020-08-01T20:34:17
7;Norwegian Krone algorithm architect;Concrete;Small e-tailers Mountains;9476;system;protocol Expanded Technician;true;../fake-data/blob/hipster.txt;2020-08-02T15:53:02;2020-08-01T22:51:33
8;projection Fundamental;solution Sleek Concrete Hat quantifying;e-services;74311;connect olive Swedish Krona;connect indigo;true;../fake-data/blob/hipster.txt;2020-08-01T21:36:46;2020-08-02T10:04:28
9;Investor Directives uniform;Mouse;alarm Representative Health;73718;Handcrafted Designer collaboration;Reactive JSON;true;../fake-data/blob/hipster.txt;2020-08-02T12:56:33;2020-08-01T22:27:37
10;Awesome Rubber Keyboard collaboration plug-and-play;transmit;redundant platforms;78517;yellow Administrator monitor;bandwidth Sports Credit Card Account;false;../fake-data/blob/hipster.txt;2020-08-01T18:43:10;2020-08-02T14:56:56
