id;order_date;expected_delivery_date;supplier_reference;is_order_finalized;comments;internal_comments;last_edited_by;last_edited_when
1;2020-08-01T23:37:29;2020-08-02T01:36:01;quantify hacking;91073;Ergonomic technologies synthesize;Money Market Account Money Market Account;payment Beauty;2020-08-01T21:51:47
2;2020-08-02T07:21:29;2020-08-02T04:13:49;Sports;83327;Borders Keyboard Locks;deposit microchip;neural middleware Fish;2020-08-02T12:19:00
3;2020-08-01T21:12:06;2020-08-02T07:50:10;Ergonomic Creative Senior;70412;Seamless;Handcrafted Cotton Pizza;transmitter;2020-08-01T20:59:26
4;2020-08-01T18:33:55;2020-08-01T21:06:39;navigate Kansas;63433;Awesome deploy Unbranded;Beauty;strategic;2020-08-02T07:39:33
5;2020-08-02T14:17:57;2020-08-02T10:11:48;Reunion;84150;Car deposit;backing up;index;2020-08-02T02:04:17
6;2020-08-01T21:47:58;2020-08-02T06:10:28;scalable Customer-focused reboot;95045;Home generating;purple Comoros 1080p;Credit Card Account generate;2020-08-01T18:39:11
7;2020-08-02T07:25:22;2020-08-01T21:43:46;navigate middleware;15591;overriding;Developer;Avon throughput;2020-08-01T20:38:51
8;2020-08-02T16:59:57;2020-08-01T18:26:35;Intelligent Springs Inverse;11636;Australia partnerships Creek;Credit Card Account;Berkshire scalable killer;2020-08-02T04:57:32
9;2020-08-01T20:38:10;2020-08-02T09:07:20;Personal Loan Account Human invoice;90965;Borders;Money Market Account;Borders;2020-08-02T13:10:15
10;2020-08-01T23:18:45;2020-08-02T14:30:50;European Unit of Account 9(E.U.A.-9) JSON Berkshire;12642;Auto Loan Account;programming navigating;next generation;2020-08-01T18:53:50
