id;name;formal_name;iso_aplha_3_code;iso_numeric_code;country_type;latest_recorded_population;continent;region;sub_region;border;localization;valid_from;valid_to
1;Investment Account;withdrawal pixel;open-source Associate;26333;standardization GB relationships;89286;Business-focused extend hack;grey;ivory Checking Account;Fish invoice Handcrafted Concrete Keyboard;../fake-data/blob/hipster.txt;2020-08-02T15:55:30;2020-08-01T21:06:57
2;networks;Denar;Computers Principal;27806;Dominican Republic firewall;31869;Music Cambridgeshire target;Locks;California primary;attitude-oriented Total Lead;../fake-data/blob/hipster.txt;2020-08-02T15:47:58;2020-08-01T18:55:31
3;Nigeria Rubber transmit;Gateway;silver;86245;Savings Account;23418;target;cross-media Direct strategize;product value-added reboot;mobile;../fake-data/blob/hipster.txt;2020-08-01T17:34:40;2020-08-02T07:21:14
4;extend sensor;Dynamic;payment orchestrate;15397;pixel bus;79233;Togo synthesizing;productivity South Dakota;mobile auxiliary markets;interface index;../fake-data/blob/hipster.txt;2020-08-01T17:07:24;2020-08-01T23:54:07
5;upward-trending;Money Market Account Pennsylvania;San Marino;54903;Implementation;36115;invoice Tools;Trinidad and Tobago Dollar Chair deposit;Maine;methodology Berkshire;../fake-data/blob/hipster.txt;2020-08-01T19:19:24;2020-08-01T22:01:15
6;deposit;Ergonomic Soft Hat connect;Cambridgeshire Automotive;95502;Washington;96109;Avon index Legacy;Frozen Equatorial Guinea;purple Branding;Argentine Peso neural;../fake-data/blob/hipster.txt;2020-08-01T23:24:23;2020-08-02T14:22:00
7;override auxiliary Belize;Games Spain California;Planner;50945;Checking Account synthesizing;60960;Pula revolutionize solution-oriented;Barbados Dollar overriding;Computers;connect;../fake-data/blob/hipster.txt;2020-08-02T01:08:03;2020-08-02T07:23:56
8;sky blue;Home Loan Account Intelligent;solutions proactive;40459;Tasty Concrete Chair deposit Frozen;70804;Falkland Islands Pound;Program synthesize;Frozen knowledge base;COM;../fake-data/blob/hipster.txt;2020-08-01T22:22:09;2020-08-01T22:43:04
9;methodical;Wooden policy SQL;hacking copy Technician;28938;Cross-group deposit models;26007;Cotton backing up Buckinghamshire;neutral;mint green;transmitter;../fake-data/blob/hipster.txt;2020-08-02T01:37:47;2020-08-02T13:58:17
10;virtual deposit;mission-critical wireless;Gloves Plains;91899;Credit Card Account Synchronised;55785;Extension;ivory Assistant;Road Buckinghamshire;District ivory THX;../fake-data/blob/hipster.txt;2020-08-02T16:53:36;2020-08-02T02:39:23
