id;video_url;highlights;long_description;short_description;what_in_the_box;care_instructions;product_type;model_name;model_number;fabric_type;special_features;product_compliance_certificate;genuine_and_legal;country_of_origin;usage_and_side_effects;safety_warnning;warranty_period;warranty_policy;dangerous_goods;last_edited_by;last_edited_when
1;Solutions;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Keyboard invoice Future;process improvement Analyst;Convertible Marks Sleek Rubber Towels;Visionary rich;../fake-data/blob/hipster.txt;Intelligent Soft Gloves;false;strategic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Steel Music;Refined Metal Computer;Multi-layered Hills;exploit Incredible;2020-08-02T08:42:39
2;superstructure;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Functionality Open-architected PCI;RAM Towels;SSL;calculating Supervisor;../fake-data/blob/hipster.txt;strategize Salad;true;Metal Books;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;next-generation Ergonomic Plastic Computer invoice;Ergonomic Rubber Computer;Handmade Garden;methodical Grocery;2020-08-02T13:24:17
3;Home Loan Account generate;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;flexibility;infomediaries channels;Movies Representative Utah;fuchsia Regional Village;../fake-data/blob/hipster.txt;multi-byte;true;Money Market Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;dynamic Program Car;RAM invoice;open-source;Borders Berkshire;2020-08-01T21:13:45
4;Green Intelligent Frozen Chicken Burundi Franc;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;infrastructures;connect Kyrgyz Republic deposit;Home Loan Account;programming frame Sharable;../fake-data/blob/hipster.txt;Chips;true;bypass grow pixel;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;extensible maximize grow;index;Checking Account withdrawal Strategist;cultivate;2020-08-02T14:47:53
5;mobile withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Car;Rubber;Wisconsin empower invoice;Fantastic Steel Sausages embrace Bedfordshire;../fake-data/blob/hipster.txt;Creative;false;backing up;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Data;Checking Account Fantastic Cotton Pants;Montana;Credit Card Account;2020-08-02T17:10:31
6;Investment Account Small Fresh Cheese;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Generic Plastic Salad;Branding users;haptic emulation Wall;Cambridgeshire Jewelery;../fake-data/blob/hipster.txt;orchestrate Small Fresh Table;true;zero tolerance Bedfordshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Mississippi card Future;withdrawal bypass;Savings Account;Associate Engineer;2020-08-02T10:30:07
7;Rustic Granite Chicken digital;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;XML Licensed maroon;Garden;Multi-channelled invoice Gorgeous;Concrete matrix;../fake-data/blob/hipster.txt;Health Berkshire;false;content-based implementation;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Rustic parse users;Industrial action-items;Locks;best-of-breed;2020-08-02T11:56:02
8;Assurance;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Organic target static;parsing;Gloves withdrawal Sleek;multi-byte Fiji Dollar;../fake-data/blob/hipster.txt;navigate Identity;false;Planner Architect;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;primary multi-byte;primary Flats Markets;auxiliary Belize;Borders;2020-08-02T01:57:58
9;PCI panel firewall;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;XSS Bedfordshire black;Guyana technologies Cayman Islands Dollar;content Auto Loan Account deposit;Mountain Japan mindshare;../fake-data/blob/hipster.txt;benchmark morph;true;invoice Home;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Avon;incremental;generating Salad Senior;synergies Practical;2020-08-01T21:13:54
10;Enhanced Harbors Savings Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;interface multi-byte;wireless;even-keeled;framework Credit Card Account Beauty;../fake-data/blob/hipster.txt;Business-focused Communications platforms;true;Administrator Plaza indexing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;Som;capacitor Consultant;invoice;turquoise Oregon;2020-08-02T11:31:04
